timestamp,time_formatted,duration_sec,algorithm,heuristic,ai_mode,score,total_steps,ai_steps,player_steps,pellets_total,pellets_eaten,pellets_remaining,power_pellets_total,power_pellets_eaten,power_pellets_remaining,level_reached,few_pellets_mode,few_pellets_count,ghost_mode,lives_lost,current_mode,ai_time_sec,human_time_sec,mode_changes_count,result
2025-10-08T09:55:43,00:57,57,UCS,NONE,AI,2600,328,328,0,244,244,0,4,0,4,0,False,20,False,0,AI,57,0,0,LEVEL_COMPLETE
2025-10-08T09:56:58,01:05,65,UCS,MAZEDISTANCE,AI,2600,321,321,0,244,244,0,4,0,4,0,False,20,False,0,AI,65,0,0,LEVEL_COMPLETE
2025-10-08T09:57:23,00:12,12,UCS,MANHATTAN,AI,70,71,71,0,7,7,0,4,0,4,0,True,7,False,0,AI,12,0,0,LEVEL_COMPLETE
2025-10-08T09:57:47,00:12,12,UCS,MANHATTAN,AI,70,73,73,0,7,7,0,4,0,4,0,True,7,False,0,AI,12,0,0,LEVEL_COMPLETE
2025-10-08T09:58:11,00:12,12,UCS,NONE,AI,70,74,74,0,7,7,0,4,0,4,0,True,7,False,0,AI,12,0,0,LEVEL_COMPLETE
2025-10-08T09:59:01,00:16,16,UCS,NONE,AI,70,90,90,0,7,7,0,4,0,4,0,True,7,False,0,AI,16,0,0,LEVEL_COMPLETE
2025-10-08T09:59:26,00:14,14,UCS,NONE,AI,70,78,78,0,7,7,0,4,0,4,0,True,7,False,0,AI,14,0,0,LEVEL_COMPLETE
2025-10-08T10:00:09,00:16,16,UCS,NONE,AI,70,93,93,0,7,7,0,4,0,4,0,True,7,False,0,AI,16,0,0,LEVEL_COMPLETE
2025-10-08T10:00:47,00:18,18,UCS,NONE,AI,70,100,100,0,7,7,0,4,0,4,0,True,7,False,0,AI,18,0,0,LEVEL_COMPLETE
2025-10-08T10:01:19,00:15,15,UCS,MANHATTAN,AI,70,85,85,0,7,7,0,4,0,4,0,True,7,False,0,AI,15,0,0,LEVEL_COMPLETE
2025-10-08T10:01:49,00:16,16,UCS,NONE,AI,70,89,89,0,7,7,0,4,0,4,0,True,7,False,0,AI,16,0,0,LEVEL_COMPLETE
2025-10-08T10:02:13,00:08,8,UCS,MANHATTAN,AI,70,51,51,0,7,7,0,4,0,4,0,True,7,False,0,AI,8,0,0,LEVEL_COMPLETE
2025-10-08T10:02:44,00:16,16,UCS,MANHATTAN,AI,70,95,95,0,7,7,0,4,0,4,0,True,7,False,0,AI,16,0,0,LEVEL_COMPLETE
2025-10-08T10:03:33,00:13,13,UCS,MANHATTAN,AI,70,75,75,0,7,7,0,4,0,4,0,True,7,False,0,AI,13,0,0,LEVEL_COMPLETE
2025-10-08T10:03:55,00:12,12,UCS,MANHATTAN,AI,70,70,70,0,7,7,0,4,0,4,0,True,7,False,0,AI,12,0,0,LEVEL_COMPLETE
2025-10-08T10:04:17,00:12,12,UCS,EUCLIDEAN,AI,70,74,74,0,7,7,0,4,0,4,0,True,7,False,0,AI,12,0,0,LEVEL_COMPLETE
2025-10-08T10:04:47,00:18,18,UCS,EUCLIDEAN,AI,70,101,101,0,7,7,0,4,0,4,0,True,7,False,0,AI,18,0,0,LEVEL_COMPLETE
2025-10-08T10:05:08,00:11,11,UCS,EUCLIDEAN,AI,70,65,65,0,7,7,0,4,0,4,0,True,7,False,0,AI,11,0,0,LEVEL_COMPLETE
2025-10-08T10:06:23,00:13,13,UCS,EUCLIDEAN,AI,70,70,70,0,7,7,0,4,0,4,0,True,7,False,0,AI,13,0,0,LEVEL_COMPLETE
2025-10-08T10:06:40,00:19,19,UCS,EUCLIDEAN,AI,70,105,105,0,7,7,0,4,0,4,0,True,7,False,0,AI,19,0,0,LEVEL_COMPLETE
2025-10-08T10:06:50,00:16,16,UCS,EUCLIDEAN,AI,70,91,91,0,7,7,0,4,0,4,0,True,7,False,0,AI,16,0,0,LEVEL_COMPLETE
2025-10-08T10:07:00,00:16,16,UCS,EUCLIDEAN,AI,70,92,92,0,7,7,0,4,0,4,0,True,7,False,0,AI,16,0,0,LEVEL_COMPLETE
2025-10-08T10:07:13,00:15,15,UCS,NONE,AI,70,86,86,0,7,7,0,4,0,4,0,True,7,False,0,AI,15,0,0,LEVEL_COMPLETE
2025-10-08T10:07:20,00:10,10,UCS,NONE,AI,70,63,63,0,7,7,0,4,0,4,0,True,7,False,0,AI,10,0,0,LEVEL_COMPLETE
2025-10-08T10:07:51,00:10,10,UCS,EUCLIDEAN,AI,70,66,66,0,7,7,0,4,0,4,0,True,7,False,0,AI,10,0,0,LEVEL_COMPLETE
2025-10-08T10:08:03,00:14,14,UCS,EUCLIDEAN,AI,70,85,85,0,7,7,0,4,0,4,0,True,7,False,0,AI,14,0,0,LEVEL_COMPLETE
2025-10-08T10:08:15,00:18,18,UCS,EUCLIDEAN,AI,70,100,100,0,7,7,0,4,0,4,0,True,7,False,0,AI,18,0,0,LEVEL_COMPLETE
2025-10-08T10:09:06,00:12,12,UCS,MAZEDISTANCE,AI,70,75,75,0,7,7,0,4,0,4,0,True,7,False,0,AI,12,0,0,LEVEL_COMPLETE
2025-10-08T10:09:16,00:14,14,UCS,MAZEDISTANCE,AI,70,86,86,0,7,7,0,4,0,4,0,True,7,False,0,AI,14,0,0,LEVEL_COMPLETE
2025-10-08T10:09:24,00:15,15,UCS,MAZEDISTANCE,AI,70,93,93,0,7,7,0,4,0,4,0,True,7,False,0,AI,15,0,0,LEVEL_COMPLETE
2025-10-08T10:09:35,00:15,15,UCS,MAZEDISTANCE,AI,70,91,91,0,7,7,0,4,0,4,0,True,7,False,0,AI,15,0,0,LEVEL_COMPLETE
2025-10-08T10:09:44,00:10,10,UCS,MAZEDISTANCE,AI,70,62,62,0,7,7,0,4,0,4,0,True,7,False,0,AI,10,0,0,LEVEL_COMPLETE
2025-10-08T10:09:59,00:15,15,UCS,MAZEDISTANCE,AI,70,91,91,0,7,7,0,4,0,4,0,True,7,False,0,AI,15,0,0,LEVEL_COMPLETE
2025-10-08T10:10:11,00:14,14,UCS,MAZEDISTANCE,AI,70,89,89,0,7,7,0,4,0,4,0,True,7,False,0,AI,14,0,0,LEVEL_COMPLETE
2025-10-08T10:10:16,00:11,11,UCS,MAZEDISTANCE,AI,70,66,66,0,7,7,0,4,0,4,0,True,7,False,0,AI,11,0,0,LEVEL_COMPLETE
2025-10-08T10:10:37,00:18,18,UCS,MAZEDISTANCE,AI,70,108,108,0,7,7,0,4,0,4,0,True,7,False,0,AI,18,0,0,LEVEL_COMPLETE
2025-10-08T10:10:49,00:14,14,UCS,NONE,AI,70,86,86,0,7,7,0,4,0,4,0,True,7,False,0,AI,14,0,0,LEVEL_COMPLETE
2025-10-08T10:10:58,00:15,15,UCS,MAZEDISTANCE,AI,70,90,90,0,7,7,0,4,0,4,0,True,7,False,0,AI,15,0,0,LEVEL_COMPLETE
2025-10-08T10:11:05,00:13,13,UCS,MAZEDISTANCE,AI,70,78,78,0,7,7,0,4,0,4,0,True,7,False,0,AI,13,0,0,LEVEL_COMPLETE
2025-10-08T10:11:14,00:14,14,UCS,MAZEDISTANCE,AI,70,84,84,0,7,7,0,4,0,4,0,True,7,False,0,AI,14,0,0,LEVEL_COMPLETE
2025-10-08T10:12:20,01:04,64,UCS,MANHATTAN,AI,2600,375,375,0,244,244,0,4,0,4,0,False,20,False,0,AI,64,0,0,LEVEL_COMPLETE
